timestamp_utc,portfolio_value,equity,cash,long_value,short_value,buying_power,n_positions
2026-05-10T02:33:33.110497+00:00,1000000.0,1000000.0,1000000.0,0.0,0.0,2000000.0,0
2026-05-11T12:00:56.570416+00:00,1000802.08,1000802.08,757261.55,243540.53,0.0,762023.1,3
2026-05-11T13:45:28.517085+00:00,1000465.26,1000465.26,4761.55,995702.9,0.0,762300.44,6
2026-05-11T20:03:15.444387+00:00,1003725.28,1003725.28,4761.55,998963.73,0.0,762489.21,6
2026-05-11T23:54:26.364123+00:00,1003184.1,1003184.1,4761.55,998422.55,0.0,762634.43,6
2026-05-12T11:14:23.914367+00:00,996231.27,996231.27,4761.55,991469.72,0.0,760589.28,6
2026-05-12T20:05:12.079979+00:00,997091.33,997091.33,4761.55,992329.78,0.0,760908.3,6
2026-05-12T23:56:50.684319+00:00,995708.91,995708.91,4761.55,990947.36,0.0,760512.77,6
2026-05-13T11:27:21.930157+00:00,998831.07,998831.07,4761.55,994069.52,0.0,762385.5,6
2026-05-13T20:11:14.283567+00:00,995833.65,995833.65,4761.55,991072.1,0.0,763959.12,6
2026-05-13T23:53:28.939076+00:00,996422.26,996422.26,4761.55,991660.71,0.0,764683.96,6
