timestamp_utc,action,symbol,target_weight
2026-05-10T02:33:33.111659+00:00,crypto15_simplemeta65_bil20,BIL,0.4275
2026-05-10T02:33:33.111665+00:00,crypto15_simplemeta65_bil20,BTC/USD,0.12625
2026-05-10T02:33:33.111668+00:00,crypto15_simplemeta65_bil20,ETH/USD,0.091625
2026-05-10T02:33:33.111671+00:00,crypto15_simplemeta65_bil20,QQQ,0.13
2026-05-10T02:33:33.111674+00:00,crypto15_simplemeta65_bil20,SOL/USD,0.029625
2026-05-10T02:33:33.111676+00:00,crypto15_simplemeta65_bil20,SPY,0.195
2026-05-11T12:00:56.570905+00:00,crypto10_hrp60_bil30,BIL,0.51
2026-05-11T12:00:56.570911+00:00,crypto10_hrp60_bil30,BTC/USD,0.1
2026-05-11T12:00:56.570914+00:00,crypto10_hrp60_bil30,ETH/USD,0.0765
2026-05-11T12:00:56.570917+00:00,crypto10_hrp60_bil30,QQQ,0.12
2026-05-11T12:00:56.570919+00:00,crypto10_hrp60_bil30,SOL/USD,0.0135
2026-05-11T12:00:56.570922+00:00,crypto10_hrp60_bil30,SPY,0.18
2026-05-11T13:45:28.517694+00:00,crypto10_hrp60_bil30,BIL,0.51
2026-05-11T13:45:28.517703+00:00,crypto10_hrp60_bil30,BTC/USD,0.1
2026-05-11T13:45:28.517706+00:00,crypto10_hrp60_bil30,ETH/USD,0.0765
2026-05-11T13:45:28.517709+00:00,crypto10_hrp60_bil30,QQQ,0.12
2026-05-11T13:45:28.517712+00:00,crypto10_hrp60_bil30,SOL/USD,0.0135
2026-05-11T13:45:28.517715+00:00,crypto10_hrp60_bil30,SPY,0.18
2026-05-11T20:03:15.444983+00:00,crypto10_hrp60_bil30,BIL,0.51
2026-05-11T20:03:15.444991+00:00,crypto10_hrp60_bil30,BTC/USD,0.1
2026-05-11T20:03:15.444994+00:00,crypto10_hrp60_bil30,ETH/USD,0.0765
2026-05-11T20:03:15.444997+00:00,crypto10_hrp60_bil30,QQQ,0.12
2026-05-11T20:03:15.445017+00:00,crypto10_hrp60_bil30,SOL/USD,0.0135
2026-05-11T20:03:15.445019+00:00,crypto10_hrp60_bil30,SPY,0.18
2026-05-11T23:54:26.364736+00:00,crypto10_hrp60_bil30,BIL,0.51
2026-05-11T23:54:26.364745+00:00,crypto10_hrp60_bil30,BTC/USD,0.1
2026-05-11T23:54:26.364749+00:00,crypto10_hrp60_bil30,ETH/USD,0.0765
2026-05-11T23:54:26.364752+00:00,crypto10_hrp60_bil30,QQQ,0.12
2026-05-11T23:54:26.364755+00:00,crypto10_hrp60_bil30,SOL/USD,0.0135
2026-05-11T23:54:26.364758+00:00,crypto10_hrp60_bil30,SPY,0.18
2026-05-12T11:14:23.914962+00:00,crypto05_alpha35_bil60,BIL,0.635
2026-05-12T11:14:23.914971+00:00,crypto05_alpha35_bil60,BTC/USD,0.0275
2026-05-12T11:14:23.914974+00:00,crypto05_alpha35_bil60,ETH/USD,0.0225
2026-05-12T11:14:23.914977+00:00,crypto05_alpha35_bil60,QQQ,0.1225
2026-05-12T11:14:23.914979+00:00,crypto05_alpha35_bil60,SPY,0.1925
